陈伟	000001
陈伟	000001
陈伟	000001
陈伟	000001
陈伟	000001
徐韧	002045
孙志强	002041
刘泽明	002116
赵志伟	002055
钱鸿川	002104
陈志军	002134
薛景林	002128
王崇九	002148
黎志	002139
陈忠斌	002068
蔡利生	002060
钟启川	002047
袁源明	002149
李兴	002123
刘文娴	002053
高洁	002146
蒋进	002140
李恒德	002149
王旭东	002179
王松苗	002173
蔡义仕	002187
王卫平	002176
肖新华	002188
常怀忠	002179
王昕	002172
杨小辉	002161
张书	002165
许萍	002168
洪振国	002172
张崇华	002154
李英健	601999
刘宝元	601808
张龙平	601008
王建民	601008
刘贵成	601008
张莹	601999
杨永富	601999
刘扬	002135
高美慧	002047
周明强	002048
李春明	002041
唐善学	002043
李建中	002091
李宝香	002129
周永镇	002139
郝鹏	002097
陈新中	002068
张兴龙	002126
李建华	002093
程厚博	002121
袁宝华	002120
张洪国	002149
金建华	002082
林建军	002110
陈富强	002126
廖崇清	002052
沃廷枢	002149
陈友明	002096
张鹏	002157
吴博	002157
周国俊	002155
沈世钊	002163
刘明生	002151
王永忠	002185
王国利	600017
赵毅	601999
王建宇	601390
李泽兴	601328
吴焰	601628
姜齐荣	002123
段东成	002053
王力	002086
马振宇	002129
雷音	002141
乔军	002078
郭建伟	002144
杨卫民	002052
王绍荷	002052
周志刚	002132
蔡建	002080
李亚军	002128
刘云晖	002120
曾楠	002157
万春华	002157
陆国庆	002169
杨立新	002179
李勇	002176
李连军	002191
万建华	002188
沈健民	002045
张晓伟	002043
李俊	601333
陈慕华	601988
王淀佐	601600
陈君	601333
钱平	601328
朱文岳	002121
陈英祥	601168
王元庆	002041
孙朝坤	002043
吴胜军	002098
李秀敏	002134
章勇	002133
尹志华	002145
吴晓明	002145
李庆祥	002078
李胜田	002068
付丽娟	002068
朱龙林	002104
张英龙	002102
周海波	002120
谢俊	002120
杨永福	002149
石成义	002126
邱立成	002128
李伟华	002128
郭金	002128
刘长华	002052
乔林保	600017
张勇	601002
朱明生	601007
陈峥	601328
张浩鹏	601008
沈伟明	601328
喻铨衡	002157
李连福	002158
何晟	002171
王颖	002140
王勇	000338
陈晓雄	002140
陈建明	002043
张永慧	002041
陈辉	002120
刘启东	002111
张景奇	002109
黄炯	002100
赵家和	002052
张明玉	002128
胡晨曦	002066
张义	002087
马波	002078
刘文彪	002078
王汉东	002147
吴韧	002102
张君	002132
李旷	002123
王成华	002053
温元凯	002128
杨志杰	002137
吕英	002128
何栋材	002052
张志民	002145
刘晓光	002140
邓卫兵	002071
刘晖	002176
李平	002176
王巍	002150
冯涛	002157
徐建明	002172
林杰	002197
吴晓纯	002156
高峰	601002
范平生	002172
郭勇义	002140
庄世平	601988
季克良	601328
关震	601333
刘昌俊	601600
马庭林	601390
徐兴荣	002140
鹿成会	002088
姚文德	002125
陈静波	002100
周波	002056
陈德昌	002094
王国庆	002118
程宇力	002148
俞海	002123
陆国栋	002126
王鑫国	002128
高平	002082
冯贵飞	002128
孙国林	002058
张尊院	002145
杨冠军	002149
韦伟	002171
章建华	002160
胡兵	002171
赵鹏	002164
张华武	002164
方正	002041
黄汉雄	002045
黄保发	002157
陈新	601390
张丽娟	601333
程文卫	601168
霍鹏	002045
李荣华	601333
李光林	601328
陆细妹	601333
宁金彪	601328
张永芳	002041
曹卫东	002053
张珊	002052
陈建明	002079
施伟	002048
甘那	002130
李杰	002117
赵祥伟	002075
赵大同	002099
沈萍	002121
李黎明	002060
潘洁	002148
张晓华	002074
陈大海	002148
杨亚玲	002053
徐颖	002123
向允平	002053
刘志坚	002056
徐志文	002143
姚永河	002060
姚欣明	002060
王志刚	002157
梁斌	002202
刘建新	002171
李俊东	002171
陈灌军	002179
罗年锋	002152
潘伟	002190
毛刚	002151
陈汉民	600970
惠全红	002145
郭颖	002140
陈根芳	002043
张学文	002041
李萍	002129
张生虎	002052
廖国华	002134
黄琪	002137
章家乐	002070
李建军	002095
李大军	002117
杨江权	002073
周立杰	002112
贾广平	002138
郑树军	002149
李益民	002123
董文学	002128
何玉威	002093
郭让民	002149
成军	002185
梁亮	002167
陈伟强	002173
李骥骋	002154
吕伟	002191
王均	002184
李正刚	601333
孙玉	601007
张程忠	601600
崔雷平	601328
张载明	601008
杨进	601390
徐明	601601
吴行才	600802
杨可权	600715
汪晓红	600678
汪晓红	600678
汪晓红	600678
谭应求	000548
谭应求	000548
谭应求	000548
蒋群	600848
陈永林	000662
王桂生	600882
潘燊昌	601601
潘燊昌	601601
李军1	601328
李军1	601328
李长春	600884
李长春	600884
李长春	600884
诸鑫强	601988
诸鑫强	601988
杨志威	601988
杨志威	601988
杨志威	601988
许兴利	600756
岳建全	600967
李新华	600995
李新华	600995
高凤翔	600780
高凤翔	600780
张淑艳	600853
少军	600863
格尔勒	600863
刘露	600794
岳凤英	600641
蒋敏	600713
王云建	600682
王云建	600682
王云建	600682
彭启发	600505
刘泽均	600391
刘泽均	600391
李海泉	600522
李海泉	600522
梅滏洲	600553
梅滏洲	600553
罗国良	600297
罗国良	600297
罗国良	600297
郭星真	600308
郭星真	600308
郭星真	600308
杨成汉	600312
杨成汉	600312
杨成汉	600312
肖德平	600296
肖德平	600296
董刚	600162
张兴强	600234
张兴强	600234
刘睿明	600410
刘睿明	600410
张小华	600035
苗建华	600050
扬永学	600215
扬永学	600215
王唏	600101
张子壹	600109
张子壹	600109
韩杰	600125
韩杰	600125
赵拴炉	600123
赵拴炉	600123
唐其君	002015
关健	000976
关健	000976
薛良淼	002178
薛良淼	002178
张文斌	002170
张文斌	002170
赵国卫	000968
姜鸥	000820
姜鸥	000820
金佳云	000925
王继杨	000915
刘永和	000732
刘永和	000732
刘永和	000732
邹乔	000758
邹乔	000758
邹乔	000758
郭北中	000688
郭北中	000688
张建荣	000721
张建荣	000721
张钊	000625
陈罡	000560
霍华德·威尔士	000550
霍华德·威尔士	000550
何金岐	000521
段志远	000526
陈柏森	000529
陈柏森	000529
赵树元	000423
赵树元	000423
赵树元	000423
张武1	000023
张武1	000023
张武1	000023
金霓	600792
锺华君	600827
沈士团	600861
黄雯倩	600824
黄雯倩	600824
李小国	600698
樊彤涛	600801
江大才	600801
江大才	600801
姚凤岐	600656
禇兵	600667
禇兵	600667
王金余	600508
王金余	600508
何志恒	600303
何志恒	600303
韩景洵	600308
韩景洵	600308
韩景洵	600308
费子文	600296
费子文	600296
高立新	600220
何利娟	600238
何利娟	600238
陈志农	600332
陈志农	600332
蒋东明	600226
崔征	600106
谢企华	600019
赵凤高	600104
赵凤高	600104
赵凤高	600104
杨琼	600083
陈岐益	600119
陈岐益	600119
赵芝富	600122
赵芝富	600122
刘军	002069
王宵鹏	002130
秦丰收	002171
严爱娥	002085
严爱娥	002085
林钒	002119
林钒	002119
林志鸿	200512
林志鸿	200512
孙健	000950
张兰永	000929
张兰永	000929
周竞东	000917
周竞东	000917
徐静	000789
徐静	000789
孙凯	000780
刘红缨	000538
刘红缨	000538
刘红缨	000538
刘旭黎	000504
李钢	000525
李钢	000525
李钢	000525
陈富强	000506
陈富强	000506
付健	000425
柳启岳	600623
柳启岳	600623
柳启岳	600623
唐力	000059
唐力	000059
唐力	000059
张新泽	601988
张新泽	601988
陈健中	000534
戴奉祥	000078
戴奉祥	000078
戴奉祥	000078
田世红	600803
钱建华	600802
钱建华	600802
钱建华	600802
刘培志	601111
刘轩廷	600422
陶正利	600216
孔德忠	600197
孔德忠	600197
孔德忠	600197
但小敏	600106
但小敏	600106
陈哲艮	600070
陈哲艮	600070
陈哲艮	600070
王爱武	002069
王爱武	002069
陈立民	002128
徐京桥	600005
徐京桥	600005
徐京桥	600005
郝刚	002033
郝刚	002033
郝刚	002033
肖志坚	000925
肖志坚	000925
李孟辉	000906
李孟辉	000906
李孟辉	000906
候守军	000972
候守军	000972
吕建	000711
李贞烈	000725
宋克均	000592
姜文风	000698
王伯富	000683
陈小卫	000534
陈小卫	000534
郑奋勇	000517
蒋珍	000538
蒋珍	000538
蒋珍	000538
刘佐东	000020
王强	002123
王强	002123
孙秋贵	600821
马建中	000885
马建中	000885
张庆恒	600348
花定兴	002163
花定兴	002163
李继红	600531
李继红	600531
李继红	600531
崔希海	000881
鄺志强	601318
舒畅	900929
徐伟勇	601866
徐伟勇	601866
朱彦	601988
朱彦	601988
宦国苍	900949
马兴亚	601699
马兴亚	601699
陈杰	600818
陈杰	600818
胡忠	600842
胡忠	600842
胡忠	600842
方岳亮	600572
许良成	600743
许良成	600743
许良成	600743
蔡祥杏	600502
蔡祥杏	600502
窦浩良	600576
何廷忠	600572
何廷忠	600572
何廷忠	600572
尚连生	600579
尚连生	600579
尚连生	600579
张小建	600391
钟晋幸	600611
钟晋幸	600611
钟晋幸	600611
茅健	600608
茅健	600608
徐惜青	600629
徐惜青	600629
王民坤	600547
万理	600293
万理	600293
万理	600293
周文玲	600295
周文玲	600295
周文玲	600295
李海涛	600162
奚后玮	600406
奚后玮	600406
李立	600422
任钧祥	600363
任钧祥	600363
任钧祥	600363
李醒明	600363
李醒明	600363
李醒明	600363
杨建萍	600056
王丽萍	600266
邝剑锋	000409
周寿梁	000155
杨靖超	000690
李德章	000400
粱华	002059
粱华	002059
夏令和	600893
裴艾军	600879
裴艾军	600879
裴艾军	600879
刘钝	601988
刘钝	601988
刘钝	601988
何塞.伊格纳西奥.格里哥萨里	601998
何塞.伊格纳西奥.格里哥萨里	601998
孙永森	900949
钱华	900939
俞二牛	601988
俞二牛	601988
周昭安	600847
周昭安	600847
周昭安	600847
陈健	600988
陈健	600988
陈健	600988
蒋秉宜	600781
王季明	600769
王中雄	600776
王中雄	600776
王中雄	600776
陆新畲	600825
陆新畲	600825
李锦荣	600865
李锦荣	600865
李锦荣	600865
刘启文	600802
刘启文	600802
修伟	600800
修伟	600800
杨海	600648
杨海	600648
郑云峰	600594
王昌永	600673
王昌永	600673
王昌永	600673
袁宁	600506
袁宁	600506
孟宪忠	600594
